name,cos_day,sin_day,days_since_launch,is_anniversary,is_new_years,is_summer,overspec,element_Electric,element_Fire,element_Iron,element_Water,element_Wind
Helm,0.6358984534680745,-0.7717727365467837,0.0,1,0,0,0,0,0,0,1,0
Laplace,0.8016235510652425,-0.5978291414589544,0.010316875460574797,1,0,0,0,0,0,1,0,0
Rupee: Winter Shopper,0.9210779895789526,-0.3893781415452015,0.020633750921149593,0,1,0,0,1,0,0,0,0
Anne: Miracle Fairy,0.9611826292540837,-0.27591294500296043,0.025792188651436992,0,1,0,0,0,0,0,0,1
Modernia,0.9999907524084426,-0.004300592702982862,0.03758290346352248,0,1,0,0,0,1,0,0,0
Viper,0.9821499931752291,0.18809941761179758,0.045689019896831246,0,1,0,0,0,0,0,1,0
Jackal,0.9821499931752291,0.18809941761179758,0.045689019896831246,0,1,0,0,0,0,1,0,0
Cocoa,0.8611467540480451,0.5083564379375123,0.0604274134119381,0,1,0,0,0,1,0,0,0
Soda,0.8611467540480451,0.5083564379375123,0.0604274134119381,0,1,0,0,0,1,0,0,0
Power,0.6258885343075018,0.7799125224167177,0.0759027266028003,0,0,0,0,0,1,0,0,0
Makima,0.6258885343075018,0.7799125224167177,0.0759027266028003,0,0,0,0,0,0,0,1,0
Biscuit,0.3098349038318025,0.9507903724625832,0.09137803979366249,0,0,0,0,1,0,0,0,0
Sakura,0.056952196034039754,0.998376906467142,0.10243183492999262,0,0,0,0,0,1,0,0,0
Alice,-0.18281692498501967,0.9831469737221499,0.11274871039056743,1,0,0,0,0,1,0,0,0
D,-0.18281692498501967,0.9831469737221499,0.11274871039056743,1,0,0,0,0,0,0,0,1
Dorothy,-0.41203363695942635,0.9111686353326631,0.12306558585114223,1,0,0,0,0,0,0,1,0
Blanc,-0.7074868024503348,0.7067265555776158,0.13854089904200442,1,0,0,0,0,0,0,0,1
Noir,-0.7872599821916922,0.6166212130956382,0.14369933677229182,1,0,0,0,0,0,0,0,1
Rosanna,-0.8556314858488706,0.5175855102531889,0.14885777450257923,1,0,0,0,1,0,0,0,0
Mary: Bay Goddess,-0.9543881083175909,0.2985688173637198,0.159174649963154,0,0,1,0,0,0,0,1,0
Neon: Blue Ocean,-0.9833429613388902,0.18175978759137534,0.1643330876934414,0,0,1,0,0,0,0,1,0
Nero,-0.9983150972033183,-0.05802556932878035,0.1746499631540162,0,0,1,0,0,1,0,0,0
Mast,-0.9556633054034706,-0.2944616217868008,0.184966838614591,0,0,1,0,1,0,0,0,0
Anis: Sparkling Summer,-0.8578494977869303,-0.5139010013093099,0.19528371407516582,0,0,0,0,1,0,0,0,0
Helm: Aquamarine,-0.7899045386224707,-0.6132298262997502,0.20044215180545322,0,0,0,0,0,0,1,0,0
2B,-0.5074302810827518,-0.8616928164028521,0.21665438467207074,0,0,0,0,0,1,0,0,0
A2,-0.4002439388573056,-0.9164086366943458,0.22181282240235814,0,0,0,0,0,1,0,0,0
Marciana,-0.18704334906991657,-0.9823516608469237,0.2313927781871776,0,0,0,0,0,0,1,0,0
Naga,0.05265805692461312,-0.9986126020839734,0.2417096536477524,1,0,0,0,1,0,0,0,0
Tia,0.172236243027682,-0.9850556718215013,0.2468680913780398,1,0,0,0,0,0,1,0,0
Quiry,0.28931997761869527,-0.957232443323312,0.2520265291083272,1,0,0,0,0,0,0,0,1
Red Hood,0.5092820071573356,-0.8605996962501181,0.262343404568902,1,0,0,0,0,0,1,0,0
Tove,0.7805849965070866,-0.6250496486104377,0.2778187177597642,1,0,0,0,0,0,0,1,0
Ludmilla: Winter Owner,0.9071390534005044,-0.42083100859565564,0.288135593220339,0,1,0,0,0,0,0,1,0
Mica: Snow Buddy,0.9511229423235357,-0.30881248126625377,0.2932940309506264,0,1,0,0,0,0,1,0,0
Scarlet: Black Shadow,0.9999907524084426,-0.004300592702982862,0.30655858511422257,0,1,0,0,0,0,0,0,1
Leona,0.9821499931752291,0.18809941761179758,0.31466470154753134,0,1,0,0,0,0,0,1,0
Moran,0.908940487313808,0.41692588132872865,0.3249815770081061,0,1,0,0,1,0,0,0,0
Privaty: Unkind Maid,0.8142923779467267,0.580454927809098,0.33308769344141487,0,0,0,0,1,0,0,0,0
Ade,0.7029130847082615,0.7112757519738152,0.3404568901989683,0,0,0,0,0,0,0,0,1
Elegg,0.612380204990065,0.7905633969115482,0.3456153279292557,0,0,0,0,1,0,0,0,0
D: Killer Wife,0.40614723863057883,0.9138076496466615,0.3559322033898305,0,0,0,0,0,1,0,0,0
Emilia,0.17647097349152166,0.984305844499033,0.3662490788504053,0,0,0,0,0,0,0,1,0
Rem,0.07411742515094415,0.9972495210773451,0.37067059690493737,0,0,0,0,0,0,0,1,0
Bay,-0.18281692498501967,0.9831469737221499,0.3817243920412675,1,0,0,0,0,1,0,0,0
Crown,-0.41203363695942635,0.9111686353326631,0.3920412675018423,1,0,0,0,0,0,1,0,0
Trony,-0.7074868024503348,0.7067265555776158,0.4075165806927045,1,0,0,0,0,1,0,0,0
Soda: Twinkling Bunny,-0.8556314858488706,0.5175855102531889,0.41783345615327927,1,0,0,0,0,0,1,0,0
Alice: Wonderland Bunny,-0.9116111071930236,0.41105375468703553,0.42299189388356667,0,0,1,0,0,0,0,1,0
Clay,-0.9833429613388902,0.18175978759137534,0.4333087693441415,0,0,1,0,1,0,0,0,0
